,Security Name,Ticker,Sector Name
500002,ABB India Limited,ABB,Capital Goods
500003,AEGIS LOGISTICS LTD.,AEGISLOG,"Oil, Gas & Consumable Fuels"
500008,AMARA RAJA BATTERIES LTD.,AMARAJABAT,Automobile and Auto Components
500009,AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA,Healthcare
500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,HDFC,Financial Services
500012,ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,Chemicals
500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSALAPI,Realty
500014,Utique Enterprises Ltd,UTIQUE,Financial Services
500016,ARUNA HOTELS LTD.,ARUNAHTEL,Consumer Services
500020,BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING,Textiles
500023,Asian Hotels (North) Limited,ASIANHOTNR,Consumer Services
500027,ATUL LTD.,ATUL,Chemicals
500028,ATV PROJECTS INDIA LTD.,ATVPR,Capital Goods
500031,BAJAJ ELECTRICALS LTD.-$,BAJAJELEC,Consumer Durables
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Fast Moving Consumer Goods
500033,FORCE MOTORS LTD.-$,FORCEMOT,Automobile and Auto Components
500034,Bajaj Finance Limited,BAJFINANCE,Financial Services
500038,BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN,Fast Moving Consumer Goods
500039,BANCO PRODUCTS (INDIA) LTD.-$,BANCOINDIA,Automobile and Auto Components
500040,CENTURY TEXTILES & INDUSTRIES LTD.,CENTURYTEX,Forest Materials
500041,BANNARI AMMAN SUGARS LTD.,BANARISUG,Fast Moving Consumer Goods
500042,BASF INDIA LTD.,BASF,Chemicals
500043,BATA INDIA LTD.,BATAINDIA,Consumer Durables
500048,BEML LTD.,BEML,Capital Goods
500049,BHARAT ELECTRONICS LTD.,BEL,Capital Goods
500052,BHANSALI ENGINEERING POLYMERS LTD.-$,BEPL,Chemicals
500058,BIHAR SPONGE IRON LTD.,BIHSPONG,Metals & Mining
500060,Birla Cable Ltd,BIRLACABLE,Telecommunication
500067,BLUE STAR LTD.,BLUESTARCO,Consumer Durables
500068,DISA INDIA LTD.,DISAQ,Capital Goods
500069,Quest Capital Markets Ltd,QUESTCAP,Financial Services
500074,BPL LTD.,BPL,Consumer Durables
500078,Oriental Aromatics Ltd-$,OAL,Chemicals
500083,CENTURY EXTRUSIONS LTD.,CENTEXT,Capital Goods
500084,CESC LTD.,CESC,Power
500085,CHAMBAL FERTILISERS & CHEMICALS LTD.,CHAMBLFERT,Chemicals
500086,EXIDE INDUSTRIES LTD.,EXIDEIND,Automobile and Auto Components
500087,CIPLA LTD.,CIPLA,Healthcare
500089,DIC INDIA LTD.,DICIND,Chemicals
500092,CRISIL LTD.,CRISIL,Financial Services
500093,CG Power and Industrial Solutions Ltd,CGPOWER,Capital Goods
500096,DABUR INDIA LTD.,DABUR,Fast Moving Consumer Goods
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Fast Moving Consumer Goods
500101,ARVIND LTD.,ARVIND,Textiles
500102,BALLARPUR INDUSTRIES LTD.,BALLARPUR,Forest Materials
500103,BHARAT HEAVY ELECTRICALS LTD.,BHEL,Capital Goods
500104,HINDUSTAN PETROLEUM CORPORATION LTD.,HINDPETRO,"Oil, Gas & Consumable Fuels"
500106,IFCI LTD.,IFCI,Financial Services
500108,MAHANAGAR TELEPHONE NIGAM LTD.,MTNL,Telecommunication
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,MRPL,"Oil, Gas & Consumable Fuels"
500110,CHENNAI PETROLEUM CORPORATION LTD.,CHENNPETRO,"Oil, Gas & Consumable Fuels"
500111,RELIANCE CAPITAL LTD.,RELCAPITAL,Financial Services
500112,STATE BANK OF INDIA,SBIN,Financial Services
500113,STEEL AUTHORITY OF INDIA LTD.,SAIL,Metals & Mining
500114,Titan Company Limited,TITAN,Consumer Durables
500116,IDBI BANK LTD.,IDBI,Financial Services
500117,DCW LTD.,DCW,Chemicals
500119,DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG,Fast Moving Consumer Goods
500120,DIAMINES & CHEMICALS LTD.-$,DIAMINESQ,Chemicals
500123,ELANTAS BECK INDIA LTD.-$,ELANTAS,Chemicals
500124,DR.REDDY'S LABORATORIES LTD.,DRREDDY,Healthcare
500125,E.I.D.-PARRY (INDIA) LTD.,EIDPARRY,Fast Moving Consumer Goods
500126,Procter & Gamble Health Ltd,PGHL,Healthcare
500128,ELECTROSTEEL CASTINGS LTD.,ELECTCAST,Capital Goods
500133,ESAB INDIA LTD.,ESABINDIA,Capital Goods
500135,EPL Ltd,EPL,Capital Goods
500136,ESTER INDUSTRIES LTD.,ESTER,Capital Goods
500142,FGP LTD.,FGP,Financial Services
500143,PH CAPITAL LTD.,PHCAP,Financial Services
500144,FINOLEX CABLES LTD.,FINCABLES,Capital Goods
500147,John Cockerill India Ltd-$,COCKERILL,Capital Goods
500148,UFLEX LTD.,UFLEX,Capital Goods
500150,FOSECO INDIA LTD.,FOSECOIND,Chemicals
500151,GOLDEN TOBACCO LTD.,GOLDENTOBC,Realty
500153,GANESH BENZOPLAST LTD.,GANESHBE,"Oil, Gas & Consumable Fuels"
500159,Metroglobal Limited,METROGLOBL,Services
500160,GTL LTD.,GTL,Telecommunication
500163,GODFREY PHILLIPS INDIA LTD.,GODFRYPHLP,Fast Moving Consumer Goods
500164,GODREJ INDUSTRIES LTD.,GODREJIND,Fast Moving Consumer Goods
500165,KANSAI NEROLAC PAINTS LTD.,KANSAINER,Consumer Durables
500166,GOODRICKE GROUP LTD.,GOODRICKE,Fast Moving Consumer Goods
500168,GOODYEAR INDIA LTD.,GOODYEAR,Automobile and Auto Components
500170,GTN INDUSTRIES LTD.,GTNINDS,Textiles
500171,GHCL LTD.,GHCL,Chemicals
500173,GFL Ltd,GFLLIMITED,Financial Services
500174,GUJARAT LEASE FINANCING LTD.,GLFL,Financial Services
500179,HCL INFOSYSTEMS LTD.,HCL-INSYS,Information Technology
500180,HDFC Bank Ltd,HDFCBANK,Financial Services
500182,HERO MOTOCORP LTD.,HEROMOTOCO,Automobile and Auto Components
500183,HFCL Ltd,HFCL,Telecommunication
500184,Himadri Speciality Chemical Ltd,HSCL,Chemicals
500185,HINDUSTAN CONSTRUCTION CO.LTD.,HCC,Construction
500186,HINDUSTAN OIL EXPLORATION CO.LTD.,HINDOILEXP,"Oil, Gas & Consumable Fuels"
500187,Agi Greenpac Ltd,AGI,Capital Goods
500188,HINDUSTAN ZINC LTD.,HINDZINC,Metals & Mining
500189,Nxtdigital Ltd,NXTDIGITAL,"Media, Entertainment & Publication"
500191,HMT LTD.,HMT,Capital Goods
